market_id,market_ticker,series_ticker,end_period_ts,date_utc,price_open,price_low,price_high,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1722657600,2024-08-03 00:00:00+00:00,0.56,0.45,0.57,0.56,0.5473,0.64,0.45,0.55,186.0,20898.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1722744000,2024-08-04 00:00:00+00:00,0.55,0.44,0.55,0.44,0.453,0.56,0.42,0.54,393.0,20915.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1722830400,2024-08-05 00:00:00+00:00,0.54,0.26,0.55,0.5,0.4983,0.44,0.26,0.5,820.0,21710.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1722916800,2024-08-06 00:00:00+00:00,0.26,0.26,0.45,0.28,0.4117,0.5,0.38,0.46,536.0,22137.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1723003200,2024-08-07 00:00:00+00:00,0.45,0.33,0.5,0.33,0.3906,0.28,0.26,0.54,1566.0,22453.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1723089600,2024-08-08 00:00:00+00:00,0.31,0.28,0.31,0.28,0.295,0.33,0.34,0.55,200.0,22453.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1723176000,2024-08-09 00:00:00+00:00,0.43,0.43,0.43,0.43,0.43,0.28,0.49,0.51,8.0,22453.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1723262400,2024-08-10 00:00:00+00:00,,,,,,0.43,0.3,0.55,0.0,22453.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1723348800,2024-08-11 00:00:00+00:00,0.46,0.43,0.46,0.44,0.4388,0.43,0.3,0.46,263.0,22453.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1723435200,2024-08-12 00:00:00+00:00,0.42,0.41,0.52,0.52,0.4604,0.44,0.34,0.55,436.0,22639.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1723521600,2024-08-13 00:00:00+00:00,,,,,,0.52,0.35,0.54,0.0,22639.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1723608000,2024-08-14 00:00:00+00:00,0.4,0.4,0.41,0.4,0.4009,0.52,0.36,0.42,535.0,22639.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1723694400,2024-08-15 00:00:00+00:00,0.41,0.41,0.41,0.41,0.41,0.4,0.41,0.42,4.0,22643.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1723780800,2024-08-16 00:00:00+00:00,0.41,0.3,0.41,0.3,0.3469,0.41,0.3,0.41,95.0,22689.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1723867200,2024-08-17 00:00:00+00:00,0.28,0.27,0.28,0.27,0.2771,0.3,0.27,0.39,70.0,22689.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1723953600,2024-08-18 00:00:00+00:00,0.39,0.39,0.42,0.42,0.4023,0.27,0.29,0.42,130.0,22819.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1724040000,2024-08-19 00:00:00+00:00,,,,,,0.42,0.33,0.4,0.0,22819.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1724126400,2024-08-20 00:00:00+00:00,0.33,0.33,0.41,0.34,0.3526,0.42,0.35,0.42,244.0,22953.0
